cid,cname,student_count
10001,database,5757
10002,operating system,5853
10003,computer graphics,5811
10004,java,5952
10005,c++,5876
10006,design pattern,5913
10007,uml,5825
10008,data structure,5825
10009,cryptology,5807
10010,software engineering,5881
10011,distributed computing,5937
10012,erp,5669
10013,artifical intelligence,5833
10014,computer network,5712
10015,tcp/ip protocol,5821
10016,data mining,5721
10017,algorithm,5825
10018,unix/linux,5812
10019,jsp,5889
10020,j2ee,5867
10021,j2me,5756
10022,asp,5676
10023,corba,5850
10024,use case,5834
10025,embeded system,5828
10026,struts,5728
10027,cpu,5819
10028,architectonics,5886
10029,compiling principle,5811
10030,information system,5817
10031,internet,5809
10032,virtual system,5916
10033,real-time system,5905
10034,windows,5835
10035,computer virus,5937
10036,website,5900
10037,software testing,5751
10038,c#,5938
10039,fortran,5797
10040,cobol,5945
10041,basic,5859
10042,c,5852
10043,information security,5859
10044,computer storage,5740
10045,software interface,5891
10046,c++/stl programming,5920
10047,computer interface,5798
10048,data warehouse,5786
10049,project management,5803
10050,digital circuit,5907
