tid,cid
204711560,10001
204711560,10002
204711560,10003
204711560,10004
204711560,10006
204711560,10007
204711560,10009
204711560,10010
204711560,10016
204711560,10017
204711560,10019
204711560,10024
204711560,10026
204711560,10029
204711560,10032
204711560,10034
204711560,10036
204711560,10037
204711560,10041
204711560,10042
204711560,10044
204711560,10045
214445507,10003
214445507,10004
214445507,10005
214445507,10009
214445507,10010
214445507,10011
214445507,10012
214445507,10016
214445507,10020
214445507,10021
214445507,10022
214445507,10023
214445507,10025
214445507,10029
214445507,10032
214445507,10036
214445507,10040
214445507,10041
214445507,10042
214445507,10048
214445507,10049
214445507,10050
277877392,10004
277877392,10011
277877392,10013
277877392,10020
277877392,10021
277877392,10022
277877392,10025
277877392,10027
277877392,10028
277877392,10031
277877392,10040
277877392,10041
277877392,10047
287866460,10003
287866460,10004
287866460,10005
287866460,10012
287866460,10013
287866460,10018
287866460,10019
287866460,10026
287866460,10029
287866460,10030
287866460,10035
287866460,10040
287866460,10043
287866460,10045
287866460,10047
287866460,10048
