tid,cname
200003125,algorithm
200003125,architectonics
200003125,c#
200003125,c++
200003125,compiling principle
200003125,computer graphics
200003125,computer interface
200003125,computer storage
200003125,corba
200003125,data warehouse
200003125,database
200003125,information system
200003125,j2me
200003125,java
200003125,operating system
200003125,software testing
200003125,uml
200003125,unix/linux
200003125,use case
200003125,virtual system
200010493,architectonics
200010493,asp
200010493,c
200010493,c++
200010493,compiling principle
200010493,computer network
200010493,computer storage
200010493,computer virus
200010493,data mining
200010493,data structure
200010493,data warehouse
200010493,fortran
200010493,information security
200010493,java
200010493,real-time system
200010493,uml
200010493,unix/linux
200010493,use case
200011899,architectonics
200011899,asp
200011899,c#
200011899,c++
200011899,corba
200011899,database
200011899,embeded system
200011899,fortran
200011899,information security
200011899,operating system
200011899,software interface
200011899,struts
200011899,uml
200011899,unix/linux
200011899,use case
200026895,artifical intelligence
200026895,asp
200026895,c#
200026895,c++/stl programming
200026895,computer graphics
200026895,corba
200026895,cryptology
200026895,data structure
200026895,design pattern
200026895,erp
200026895,fortran
200026895,information security
200026895,j2me
200026895,software interface
200026895,struts
200026895,uml
200067473,architectonics
200067473,asp
200067473,basic
200067473,c++
200067473,computer graphics
200067473,computer interface
200067473,computer virus
200067473,cpu
200067473,data structure
200067473,data warehouse
200067473,design pattern
200067473,embeded system
200067473,fortran
200067473,information security
200067473,j2me
200067473,operating system
200067473,real-time system
200067473,uml
200067473,virtual system
200067473,website
200102901,artifical intelligence
200102901,basic
200102901,c
200102901,cobol
200102901,compiling principle
200102901,data mining
200102901,database
200102901,digital circuit
200102901,information security
200102901,j2me
200102901,jsp
200102901,real-time system
200102901,software interface
200102901,tcp/ip protocol
200102901,uml
200102901,use case
200102901,virtual system
200102901,website
200113378,architectonics
200113378,artifical intelligence
200113378,computer interface
200113378,computer network
200113378,computer storage
200113378,computer virus
200113378,data mining
200113378,data structure
200113378,design pattern
200113378,digital circuit
200113378,distributed computing
200113378,fortran
200113378,internet
200113378,operating system
200113378,project management
200113378,software engineering
200113378,software interface
200113378,software testing
200113378,struts
200113378,uml
200113378,unix/linux
200113378,website
200113378,windows
200121786,algorithm
200121786,artifical intelligence
200121786,asp
200121786,basic
200121786,computer interface
200121786,cryptology
200121786,data mining
200121786,database
200121786,embeded system
200121786,operating system
200121786,software testing
200121786,uml
200123667,algorithm
200123667,basic
200123667,c++
200123667,c++/stl programming
200123667,computer interface
200123667,computer storage
200123667,cpu
200123667,cryptology
200123667,data mining
200123667,design pattern
200123667,erp
200123667,fortran
200123667,internet
200123667,java
200123667,operating system
200123667,real-time system
200123667,software interface
200123667,tcp/ip protocol
200123667,uml
200123667,use case
200209666,algorithm
200209666,architectonics
200209666,c
200209666,c++
200209666,c++/stl programming
200209666,cobol
200209666,computer interface
200209666,computer network
200209666,computer storage
200209666,computer virus
200209666,cpu
200209666,data warehouse
200209666,database
200209666,erp
200209666,internet
200209666,real-time system
200209666,software interface
200209666,software testing
200209666,struts
