no,sid,tid,cid,score
500554208,801659685,264958417,10001,50
500939414,881573710,277650851,10001,50
501489780,896459950,296236021,10001,50
501805219,846162459,205325563,10001,50
502779890,842888341,265122014,10001,50
503585010,898574224,292441101,10001,50
508470539,879478880,239690607,10001,50
510645344,809693557,268236958,10001,50
513231978,891407679,292149161,10001,50
514544312,837672080,247237737,10001,50
515388537,840488872,259275268,10001,50
516772107,839007671,251377749,10001,50
517704631,826473831,222631978,10001,50
517934109,889059994,265289905,10001,50
520018497,873132887,243214790,10001,50
520465136,872880530,204606086,10001,50
522302401,853851202,287357125,10001,50
522393650,834559491,299315998,10001,50
522399655,835231142,262777597,10001,50
522756345,860968202,273472710,10001,50
523360284,858073328,247555996,10001,50
523507351,801683742,230132964,10001,50
524061610,834532997,269374857,10001,50
524062957,820026830,251534684,10001,50
524136451,893458905,282230571,10001,50
525676817,858539127,201001907,10001,50
525815475,809212627,231000731,10001,50
526979257,813293937,222459554,10001,50
528383931,800834569,297004977,10001,50
529152257,813922629,295356813,10001,50
530010534,899610614,216760112,10001,50
531163755,884441599,257487745,10001,50
532739989,848578607,281677867,10001,50
532951252,856015163,239487143,10001,50
533676241,826870825,297190590,10001,50
535573048,874531898,295839433,10001,50
537802708,829214555,234185764,10001,50
540807653,802263203,206773165,10001,50
541007016,880016061,225647324,10001,50
541112988,893291683,219375974,10001,50
541712492,887057827,282057006,10001,50
542461631,827705154,227160291,10001,50
543342408,883295003,296379480,10001,50
543489603,869697605,207086612,10001,50
545515205,833268686,224857589,10001,50
545934795,880216769,216054147,10001,50
547523231,883039041,275090539,10001,50
547563432,868471886,267497311,10001,50
548277783,804573683,216948484,10001,50
549085595,828784901,289528796,10001,50
550071237,862101749,292778120,10001,50
550203036,871741810,248104752,10001,50
553294494,864594851,299672382,10001,50
553533735,800354595,225745508,10001,50
554200619,845895729,238608520,10001,50
554984988,854210907,266314758,10001,50
555249804,867064221,232783456,10001,50
555657020,822303497,277758189,10001,50
556917893,854972168,218927719,10001,50
557901812,835279608,207077539,10001,50
559547961,875732879,237829278,10001,50
559730305,874340071,221204946,10001,50
560646398,869946741,241223426,10001,50
561113799,896732565,223842290,10001,50
561808001,865283357,216717410,10001,50
562120121,856701927,274549131,10001,50
562275402,896256180,209263495,10001,50
562535448,820492818,278734071,10001,50
563846548,807293259,238462709,10001,50
564016998,857755714,292065609,10001,50
564382891,889731933,242248735,10001,50
568993747,882413874,247281933,10001,50
572706843,888824005,272595080,10001,50
573616667,882912380,275728072,10001,50
574179794,850491515,204699843,10001,50
574538228,823330777,270737024,10001,50
574979023,880926370,264726018,10001,50
575630004,892713948,233541783,10001,50
576603711,864136637,216866008,10001,50
577241635,800588456,226910420,10001,50
