sid,tid,cid,score,cname
848035070,208952048,10007,88,uml
897664264,260797745,10007,62,uml
898453203,237947994,10007,91,uml
846108663,217840948,10007,86,uml
827984677,244871065,10007,86,uml
823352185,224956108,10007,,uml
882778410,228002437,10007,69,uml
884993242,235035702,10007,74,uml
806427512,260989974,10007,96,uml
848803637,218987065,10007,85,uml
839666024,223844488,10007,92,uml
844745062,220113589,10007,96,uml
818493215,285423878,10007,88,uml
815954009,222720046,10007,62,uml
829224326,249882774,10007,80,uml
851336322,262167751,10007,,uml
800666161,283915492,10007,55,uml
853830125,246494899,10007,93,uml
832866714,206952327,10007,99,uml
835701522,238064881,10007,83,uml
878084344,285912253,10007,74,uml
876931676,296815657,10007,65,uml
824192291,290466550,10007,73,uml
876280766,208766336,10007,64,uml
821737075,246294268,10007,97,uml
859593748,267226642,10007,79,uml
868555105,275056345,10007,95,uml
842264420,226254374,10007,97,uml
885024727,242704969,10007,82,uml
855600748,273015808,10007,93,uml
804348863,240064307,10007,75,uml
837672404,231391063,10007,77,uml
869235303,268218137,10007,52,uml
859707178,285530531,10007,53,uml
814845744,249585087,10007,72,uml
887394133,208637401,10007,85,uml
881291955,299949404,10007,72,uml
824571895,256895504,10007,71,uml
879013713,203009761,10007,97,uml
878598639,242375004,10007,97,uml
855621988,266942199,10007,95,uml
801598405,283553368,10007,77,uml
807881897,226835505,10007,71,uml
866978957,298249892,10007,88,uml
818041426,226579411,10007,78,uml
891915121,248342306,10007,73,uml
865116273,215428917,10007,63,uml
831092238,277027919,10007,70,uml
896612206,202523719,10007,51,uml
899702579,299487490,10007,61,uml
804893181,261040058,10007,53,uml
829654234,203621987,10007,95,uml
882386637,204313874,10007,87,uml
869107512,293131402,10007,65,uml
811381835,282697515,10007,99,uml
811488041,277655852,10007,87,uml
827630999,272034298,10007,83,uml
808483926,227395763,10007,77,uml
842415955,273007759,10007,66,uml
867009374,278229404,10007,62,uml
865378465,298583337,10007,91,uml
827106651,257033195,10007,50,uml
857983646,233500632,10007,89,uml
885514139,202539039,10007,,uml
885790223,257755120,10007,76,uml
862343670,248183654,10007,66,uml
807138320,259753425,10007,62,uml
823546149,254152114,10007,77,uml
819488292,245673288,10007,69,uml
811153839,287795916,10007,74,uml
831971325,235271159,10007,65,uml
811175610,280911139,10007,73,uml
877818262,282102004,10007,89,uml
864774995,224356586,10007,53,uml
873233458,268513750,10007,80,uml
857427343,221333385,10007,82,uml
879779584,237512606,10007,88,uml
882611615,280999709,10007,93,uml
895649301,224059470,10007,67,uml
896342223,275207707,10007,73,uml
812301133,267335898,10007,84,uml
884529488,211166517,10007,,uml
866932689,259566724,10007,81,uml
804791179,222760022,10007,,uml
830281420,222349542,10007,53,uml
876441001,256158807,10007,87,uml
888389912,248919236,10007,,uml
817383651,221849342,10007,54,uml
857283384,232286800,10007,73,uml
875662350,267027746,10007,95,uml
883285079,224163795,10007,67,uml
834339331,278800735,10007,60,uml
862050717,271391295,10007,65,uml
836654494,216606634,10007,65,uml
867756804,292894862,10007,99,uml
896917670,224997651,10007,76,uml
881376127,232143447,10007,79,uml
895176952,271371537,10007,52,uml
811523667,213608914,10007,81,uml
898297230,293938146,10007,92,uml
858122092,200943624,10007,68,uml
810848047,294890792,10007,,uml
881705524,257349646,10007,68,uml
842500698,298963376,10007,91,uml
823020108,269705424,10007,,uml
827913282,274899866,10007,80,uml
863384975,254878468,10007,73,uml
805991448,265361747,10007,63,uml
852685363,228970618,10007,79,uml
849494006,224638344,10007,93,uml
856048988,220421932,10007,73,uml
814316269,251068039,10007,91,uml
809797913,214869274,10007,54,uml
887607978,217680132,10007,65,uml
806109870,239722602,10007,,uml
886282503,294817958,10007,93,uml
874448221,261843568,10007,65,uml
827380588,292195066,10007,64,uml
816598047,229992065,10007,67,uml
812585485,256481879,10007,60,uml
850964325,287459054,10007,63,uml
872264709,237755738,10007,77,uml
827147103,220929281,10007,60,uml
871386625,229162162,10007,63,uml
864801856,294817958,10007,64,uml
837576657,210749807,10007,78,uml
898858275,291930591,10007,74,uml
823145046,245235446,10007,68,uml
817273479,212266886,10007,70,uml
895125371,257485634,10007,72,uml
848853152,229127219,10007,96,uml
846631805,291750769,10007,54,uml
843985196,221563111,10007,66,uml
861529675,293576592,10007,62,uml
854536101,238330447,10007,,uml
837355898,251925537,10007,64,uml
833051358,248487904,10007,76,uml
839705922,245614283,10007,60,uml
807778250,294546610,10007,60,uml
862065181,211101111,10007,,uml
870746236,220400178,10007,83,uml
861036871,280264746,10007,71,uml
868492925,234300554,10007,89,uml
888336775,284295159,10007,68,uml
859667575,265445379,10007,,uml
812344387,282253926,10007,67,uml
846590194,208801701,10007,50,uml
888857647,277933583,10007,84,uml
862458350,299513770,10007,66,uml
875289369,202440840,10007,61,uml
821967582,215441325,10007,78,uml
899486486,207381485,10007,71,uml
837676881,284712570,10007,55,uml
851509386,281334705,10007,74,uml
827536865,252000687,10007,83,uml
837675265,280322291,10007,,uml
895002935,270559566,10007,60,uml
896084008,298269494,10007,62,uml
826903292,258522970,10007,72,uml
898641085,226748790,10007,74,uml
881412422,266073307,10007,68,uml
888547515,202956762,10007,70,uml
854536101,291471113,10007,98,uml
813523502,276891299,10007,85,uml
885256515,277472656,10007,98,uml
832830167,283420485,10007,94,uml
822160976,238341990,10007,83,uml
867730360,287139512,10007,79,uml
802603936,214002494,10007,75,uml
808141971,270373633,10007,91,uml
828223958,248513279,10007,71,uml
828683994,257485634,10007,81,uml
815640572,253502743,10007,87,uml
804501167,297097867,10007,,uml
863337029,263057631,10007,79,uml
872540559,209824191,10007,,uml
892130458,296947870,10007,82,uml
880681855,238386474,10007,80,uml
886488379,299745069,10007,74,uml
886627591,274226161,10007,79,uml
884117422,200675836,10007,70,uml
840352085,208333412,10007,71,uml
833239170,240516292,10007,,uml
839658221,233334986,10007,,uml
802745074,257022487,10007,99,uml
844341048,203463112,10007,82,uml
868987865,224996266,10007,85,uml
850105453,253474224,10007,53,uml
817702641,280812903,10007,81,uml
862181919,282504661,10007,80,uml
865600505,268344515,10007,92,uml
837714381,213298909,10007,64,uml
889287710,281143977,10007,,uml
896759310,290247248,10007,50,uml
852839454,279640795,10007,90,uml
893101606,271586480,10007,50,uml
853061789,228908741,10007,76,uml
878644454,212157952,10007,93,uml
859361257,228498651,10007,69,uml
837193340,286288958,10007,,uml
862143439,245962516,10007,90,uml
814533779,200876969,10007,65,uml
801519380,264791885,10007,89,uml
865414289,295577125,10007,80,uml
801151037,284303798,10007,52,uml
814282286,268709693,10007,60,uml
858323053,214425427,10007,84,uml
872561346,223114123,10007,65,uml
807086345,213304058,10007,89,uml
833008066,260708047,10007,88,uml
877520506,267283677,10007,94,uml
815765895,299957168,10007,54,uml
830106012,214754535,10007,,uml
889148457,208710970,10007,75,uml
819880446,293030947,10007,70,uml
861283837,215167282,10007,,uml
842787168,212006660,10007,63,uml
859026954,249080501,10007,73,uml
816623076,236740822,10007,92,uml
804168197,270703314,10007,76,uml
888636180,222505811,10007,90,uml
818903075,217408209,10007,86,uml
853497840,204082552,10007,61,uml
869063461,255805172,10007,93,uml
865449910,235074175,10007,94,uml
819782242,270805499,10007,92,uml
835395387,264058753,10007,55,uml
880702259,243214790,10007,85,uml
832358318,220485342,10007,81,uml
811556693,297423490,10007,87,uml
849736656,215172931,10007,70,uml
888676718,223287411,10007,67,uml
872978183,253079448,10007,50,uml
892352057,243694516,10007,96,uml
875512957,270228669,10007,55,uml
885118137,226833763,10007,71,uml
859680920,253307452,10007,53,uml
871603623,292378138,10007,92,uml
864068825,252827673,10007,70,uml
841749744,226268945,10007,62,uml
805750706,260615721,10007,61,uml
883194132,266183246,10007,99,uml
869042454,273206277,10007,72,uml
869378571,268246986,10007,51,uml
871261001,247668099,10007,98,uml
849837889,240120074,10007,87,uml
804713197,282546488,10007,94,uml
874912996,221880508,10007,90,uml
802657901,219017586,10007,94,uml
899985877,284122060,10007,93,uml
893470409,230092401,10007,62,uml
848978456,247539804,10007,76,uml
836304062,281358154,10007,76,uml
893663326,277887712,10007,51,uml
871754426,228769763,10007,,uml
889314116,232822062,10007,86,uml
839036300,205965064,10007,92,uml
805645160,223238823,10007,62,uml
888896823,258723492,10007,86,uml
841737194,273315116,10007,79,uml
857609112,284384970,10007,83,uml
805879428,225325037,10007,93,uml
860857158,285519868,10007,90,uml
800702662,248734429,10007,66,uml
862106858,223587365,10007,76,uml
833461057,273851123,10007,75,uml
872827013,251802833,10007,68,uml
807629217,207214549,10007,66,uml
806996588,297076833,10007,99,uml
818593114,278940204,10007,52,uml
849092128,234840226,10007,91,uml
874081168,234650068,10007,62,uml
809912222,273297500,10007,89,uml
838009199,251770241,10007,87,uml
819474071,294940942,10007,,uml
804365501,201273732,10007,62,uml
886812415,235686612,10007,,uml
881543998,235011703,10007,75,uml
801619231,284312144,10007,69,uml
812403051,251848559,10007,71,uml
835843021,267198942,10007,84,uml
895113278,200102901,10007,64,uml
884342433,215488181,10007,55,uml
846213567,210212341,10007,93,uml
